001,HE2357-0701    ,00:00:04.500,-06:45:07.00,000.018750,-06.751940,089.70034,-66.25167,0.0312,15.39,-9.99,-9.99,-9.99
002,SMSSJ0001-3633 ,00:01:13.960,-36:33:37.90,000.308170,-36.560530,348.24844,-75.78849,0.0092,-9.99,-9.99,-9.99,-9.99
003,CS22957-022    ,00:01:45.500,-05:49:46.60,000.439580,-05.829610,091.68296,-65.64110,0.0334,13.95,13.34,11.81,11.31
004,SDSSJ0002+2928 ,00:02:19.870,+29:28:51.80,000.582790,+29.481060,110.29894,-32.18321,0.0509,-9.99,-9.99,-9.99,-9.99
005,HE0005-0002    ,00:08:06.772,+00:14:08.93,002.028217,+00.235814,100.33557,-60.72101,0.0635,15.37,14.55,12.91,12.29
006,CS31060-047    ,00:08:07.806,-15:54:03.84,002.032525,-15.901067,078.90417,-74.93386,0.0267,14.62,13.80,12.05,11.44
007,CS31085-024    ,00:08:27.943,+10:54:19.84,002.116429,+10.905511,106.18472,-50.56365,0.1128,14.62,14.00,12.63,12.27
008,HE0007-1832    ,00:09:52.780,-18:16:12.50,002.469920,-18.270140,073.55327,-76.96091,0.0302,16.30,15.46,14.51,14.24
009,SMSSJ0010-5258 ,00:10:39.860,-52:58:51.40,002.666080,-52.980940,316.53301,-63.05733,0.0131,-9.99,-9.99,-9.99,-9.99
010,HE0008-3842    ,00:10:56.040,-38:26:10.04,002.733500,-38.436122,337.26338,-75.86639,0.0158,14.53,13.37,11.35,10.61
011,HE0009-6039    ,00:11:31.000,-60:22:21.00,002.879170,-60.372500,311.76051,-56.06621,0.0096,17.80,17.00,15.02,14.72
012,HE0010-3422    ,00:13:08.900,-34:05:55.00,003.287080,-34.098610,350.33452,-79.21847,0.0137,15.57,15.48,12.82,12.34
013,HE0011-0035    ,00:14:15.800,-00:18:59.00,003.565830,-00.316390,102.98910,-61.74027,0.0290,15.04,-9.99,-9.99,-9.99
014,CS31070-058    ,00:14:33.930,+05:51:44.73,003.641375,+05.862425,106.45133,-55.82500,0.0253,14.28,13.52,11.77,11.24
015,HE0012-1441    ,00:15:27.060,-14:24:37.70,003.862750,-14.410470,087.73318,-74.76616,0.0238,16.80,16.36,15.26,14.64
016,HE0013-0257    ,00:16:04.230,-02:41:05.30,004.017620,-02.684810,102.32721,-64.13251,0.0378,13.70,-9.99,10.98,10.42
017,CS31069-064    ,00:16:12.600,+04:49:37.00,004.052500,+04.826900,106.69597,-56.93018,0.0199,14.48,13.89,-9.99,-9.99
018,HE0013-0522    ,00:16:28.090,-05:05:52.00,004.117040,-05.097780,100.66954,-66.44618,0.0289,13.70,-9.99,11.40,10.92
019,HE0015+0048    ,00:18:01.430,+01:05:08.10,004.505960,+01.085580,105.68646,-60.66249,0.0295,14.00,-9.99,11.51,10.94
020,SDSSJ0018-0939 ,00:18:20.510,-09:39:39.20,004.585460,-09.660890,097.28546,-70.86620,0.0455,-9.99,-9.99,-9.99,-9.99
021,HE0017-4838    ,00:19:48.320,-48:21:23.62,004.951333,-48.356561,316.99518,-67.89881,0.0148,16.77,16.11,14.65,14.12
022,SMSSJ0019-5258 ,00:19:52.150,-52:58:03.00,004.967290,-52.967500,313.61316,-63.50116,0.0157,-9.99,-9.99,-9.99,-9.99
023,HE0017-4346    ,00:20:16.200,-43:30:18.00,005.067500,-43.505000,321.96794,-72.45268,0.0071,16.30,15.70,14.89,14.55
024,CS22882-001    ,00:20:25.300,-31:39:04.00,005.105420,-31.651110,357.27278,-81.87359,0.0185,15.22,14.82,13.68,13.32
025,BS17570-063    ,00:20:36.190,+23:47:37.70,005.150790,+23.793810,113.90440,-38.53684,0.0392,14.84,14.51,13.47,13.07
026,HE0018-1349    ,00:20:52.382,-13:32:29.61,005.218258,-13.541558,093.69739,-74.65120,0.0364,16.27,15.74,14.46,14.12
027,SMSSJ0021-4711 ,00:21:48.060,-47:11:32.10,005.450250,-47.192250,317.15774,-69.10897,0.0116,-9.99,-9.99,-9.99,-9.99
028,CS30339-041    ,00:23:12.931,-37:01:26.71,005.803879,-37.024086,332.25146,-78.44736,0.0125,14.42,13.87,12.65,12.14
029,HE0023-4825    ,00:25:50.301,-48:08:27.07,006.459587,-48.140853,314.59115,-68.40374,0.0151,14.30,13.83,12.70,12.35
030,HE0024-2523    ,00:27:27.663,-25:06:28.18,006.865263,-25.107828,052.16900,-84.25202,0.0171,15.32,14.91,14.04,13.75
031,CS29497-004    ,00:28:06.923,-26:03:04.23,007.028846,-26.051175,043.28784,-84.67653,0.0133,14.76,14.07,12.49,11.96
032,CS29527-015    ,00:29:10.675,-19:10:07.25,007.294479,-19.168681,089.05753,-80.54116,0.0221,14.61,14.24,13.30,13.05
033,CS30339-069    ,00:30:15.950,-35:56:51.20,007.566460,-35.947560,328.67275,-80.09841,0.0092,14.90,14.74,13.77,13.45
034,CS31062-050    ,00:30:31.069,-12:05:10.88,007.629454,-12.086356,103.85019,-74.17797,0.0302,13.70,13.05,11.77,11.40
035,SMSSJ0030-4820 ,00:30:55.810,-48:20:11.30,007.732540,-48.336470,312.22661,-68.42000,0.0143,-9.99,-9.99,-9.99,-9.99
036,HD002796       ,00:31:16.915,-16:47:40.80,007.820477,-16.794665,097.60744,-78.66276,0.0213, 9.28, 8.50, 6.85, 6.26
037,HE0029-1839    ,00:32:07.755,-18:22:36.82,008.032313,-18.376894,094.99804,-80.18462,0.0212,15.21,14.49,13.07,12.50
038,HD003008       ,00:33:14.311,-10:43:42.73,008.309630,-10.728536,107.42576,-73.05005,0.0298,10.66, 9.48, 7.18, 6.42
039,SMSSJ0033-4910 ,00:33:27.360,-49:10:37.90,008.364000,-49.177190,310.68561,-67.67946,0.0115,-9.99,-9.99,-9.99,-9.99
040,CS31062-041    ,00:35:03.014,-15:54:29.29,008.762558,-15.908136,103.37914,-78.15312,0.0271,14.75,13.93,12.39,11.82
041,SDSSJ0036-1043 ,00:36:02.370,-10:43:36.30,009.009870,-10.726750,109.73709,-73.20280,0.0274,-9.99,-9.99,-9.99,-9.99
