#Table1
objID,htmID,z,ra,dec,cx,cy,cz,class,subClass,type,survey,programname
1237674650466451681,14843897554446,0.1770178,182.05745,0.11797475,-0.999353212730212,-0.0359014837278834,0.00205904636676755,GALAXY,,3,sdss,legacy
1237652901297061952,8987576709232,1.572909,28.005146,-8.6661618,0.872825334359786,0.464190022499036,-0.150677001271173,QSO,BROADLINE,6,sdss,legacy
1237660963481190544,16407621232586,0.1288524,149.68174,40.434851,-0.657045870787688,0.384227560671157,0.648582998005299,GALAXY,STARBURST,3,sdss,legacy
1237666214607323560,17313594382392,0.04013124,18.223573,15.580295,0.914941466203315,0.301234627289391,0.268588556613178,GALAXY,,3,sdss,legacy
1237663530792714973,16257580962125,0.4528666,117.48783,46.600624,-0.317128593728131,0.609514420401139,0.726582153898017,GALAXY,,3,sdss,legacy
1237664106313285728,15586624185871,0.1407701,144.73911,11.896496,-0.798994042031118,0.564900903392553,0.206144342985815,GALAXY,AGN,3,sdss,legacy
1237670956250628229,9031997298744,0.2739175,22.727012,-9.6159027,0.909396683711108,0.380912727035689,-0.167042407901328,GALAXY,,3,sdss,legacy
1237654880189415576,14905644184992,0.1686691,190.35168,4.8438217,-0.980210059730671,-0.179047843824017,0.0844399693555394,GALAXY,,3,sdss,legacy
1237654881801601161,14866286138120,0.1798399,193.95056,6.0311306,-0.965132333203401,-0.239750132580265,0.105068802853681,GALAXY,,3,sdss,legacy
1237663783668547686,8832189546054,0.1313919,18.382001,-0.32224531,0.948960114387657,0.315345952155182,-0.00562421200756635,GALAXY,STARFORMING,3,sdss,southern
1237657241900548204,16383868051236,0.1320303,152.25175,49.303207,-0.577070743463585,0.303589101273142,0.758170834724306,GALAXY,,3,sdss,legacy
1237654665438625860,16239461705231,2.330658,122.47548,38.260714,-0.421604826422033,0.662412421536557,0.61924078849162,QSO,BROADLINE,6,boss,boss
1237648722290016372,15556537828657,0.5188042,147.00405,0.82528289,-0.8386220611106,0.544523259856683,0.0144034056271965,GALAXY,,3,boss,boss
1237665128560722031,15336939020510,0.6264418,228.95161,26.839285,-0.585954559323782,-0.67291495850707,0.451489438442475,QSO,BROADLINE,6,boss,boss
1237662661602771832,15335753702761,0.5544559,231.23658,29.01077,-0.547547685987999,-0.681903025145426,0.484974015661359,GALAXY,,3,boss,boss
1237680245206679748,17281517447114,0.1433554,7.05396839999997,18.999891,0.938362483981059,0.116113723122059,0.325566355693629,GALAXY,STARFORMING,3,boss,boss
